feature_1,feature_2,corrected_cramers_v
origin_airport,origin_faa_hub_category,0.9994084767760728
destination_airport,destination_faa_hub_category,0.9994067121221264
airline,destination_airport,0.4351131573106018
airline,origin_airport,0.43456859644865936
origin_airport,destination_faa_hub_category,0.3030043115526801
destination_airport,origin_faa_hub_category,0.30076104804961357
airline,destination_faa_hub_category,0.23333043409657228
airline,origin_faa_hub_category,0.23226974941543094
origin_faa_hub_category,destination_faa_hub_category,0.16580132320789287
origin_airport,destination_airport,0.16351892468072077
destination_airport,departure_month,0.023773903276238382
airline,departure_weekday,0.02327950239076674
origin_airport,departure_month,0.022657742452464755
departure_month,departure_weekday,0.021061784319723303
origin_airport,departure_weekday,0.020915177110051284
destination_airport,departure_weekday,0.01998591415824007
airline,departure_month,0.009931654046179164
departure_weekday,origin_faa_hub_category,0.0072957865005636655
departure_month,origin_faa_hub_category,0.00639630687131137
departure_weekday,destination_faa_hub_category,0.006071282952861599
departure_month,destination_faa_hub_category,0.0054244690734718175
