display_term,value,start_probability,end_probability,change_percentage_points,example_index,final_probability
Model baseline,,0.0,0.18716691479988287,18.716691479988288,1409291,0.7200952626269604
Recent route delay rate (days -29 to -2),0.6666666666666666,0.18716691479988287,0.33169104754818346,14.452413274830059,1409291,0.7200952626269604
Scheduled departure hour,18.0,0.33169104754818346,0.4479239434381434,11.623289588995995,1409291,0.7200952626269604
Destination airport,SFB,0.4479239434381434,0.5447796862885482,9.685574285040483,1409291,0.7200952626269604
Destination flights scheduled that day,38.0,0.5447796862885482,0.4558235240531792,-8.895616223536901,1409291,0.7200952626269604
Origin airport,FSD,0.4558235240531792,0.5282999234319108,7.247639937873157,1409291,0.7200952626269604
Recent origin delay rate (days -8 to -2),0.4057971014492754,0.5282999234319108,0.5896692982197836,6.136937478787285,1409291,0.7200952626269604
Airline,G4,0.5896692982197836,0.6403868327808127,5.0717534561029005,1409291,0.7200952626269604
Origin flights scheduled in the same hour,3.0,0.6403868327808127,0.5929462414691995,-4.744059131161316,1409291,0.7200952626269604
Recent destination delay rate (days -8 to -2),0.5609756097560976,0.5929462414691995,0.6350687297636808,4.212248829448129,1409291,0.7200952626269604
Departure month,7,0.6350687297636808,0.6671308237289809,3.206209396530013,1409291,0.7200952626269604
Day of week,6,0.6671308237289809,0.6884041398739944,2.1273316145013488,1409291,0.7200952626269604
All other terms,,0.6884041398739944,0.7200952626269604,3.169112275296604,1409291,0.7200952626269604
