airline,scheduled_flights,cancellation_rate,eligible_flights,delay_rate,median_delay_minutes,p90_delay_minutes,airline_name
F9,739713,0.022403283435602727,721879.0,0.29809566423181727,-3.0,70.0,Frontier
B6,1019605,0.023089333614487964,992163.0,0.29060950670403957,-4.0,74.0,JetBlue
G4,480525,0.015659955257270694,471665.0,0.2657627765469136,-4.0,59.0,Allegiant
NK,951889,0.02036371887898694,930694.0,0.25035296241299504,-5.0,57.0,Spirit
AA,3772635,0.018237385805942002,3692952.0,0.2443021192801856,-5.0,56.0,American
WN,5556918,0.014495625092902217,5464537.0,0.21945262700206805,-4.0,39.0,Southwest
OH,885300,0.02747995029933356,858685.0,0.216229467150352,-7.0,51.0,PSA
AS,965135,0.016557269190320526,946384.0,0.21300233309100747,-4.0,35.0,Alaska
UA,2914407,0.014123284771138691,2865216.0,0.20359058444459335,-7.0,44.0,United
HA,313446,0.010256950160474213,309912.0,0.19940176566251064,0.0,29.0,Hawaiian
YV,114779,0.033194225424511455,110665.0,0.1969457371345954,-8.0,49.0,Mesa
MQ,1054824,0.0175754438655169,1033786.0,0.1949300919145742,-6.0,37.0,Envoy
OO,2993218,0.014016018880014754,2942198.0,0.18289047847901466,-7.0,39.0,SkyWest
DL,3913664,0.011394437539860346,3860376.0,0.17407112675034764,-8.0,34.0,Delta
YX,1259300,0.031683474946398796,1216689.0,0.17243108140206742,-10.0,36.0,Republic
9E,633555,0.026914790349693397,615224.0,0.15402194972887923,-10.0,31.0,Endeavor
