airport,scheduled_flights,cancellation_rate,eligible_flights,origin_delay_rate,p90_delay_minutes
ATL,1310732,0.011974988021960249,1291937.0,0.20310587900183988,40.0
DFW,1191388,0.022554365160636164,1161128.0,0.25956311448866964,58.0
DEN,1186783,0.014294104313931022,1166589.0,0.24985320451332904,50.0
ORD,1126518,0.017540776090572897,1103811.0,0.23500399977894768,52.0
CLT,799862,0.01641283121338431,784896.0,0.2404191128506197,51.0
LAX,770034,0.009482698166574464,760609.0,0.18175830157150388,34.0
LAS,739435,0.0122701792584879,728374.0,0.23986303739562367,45.0
PHX,732217,0.008985041319718062,723833.0,0.1957937811622294,36.0
SEA,666380,0.011434917014316155,657085.0,0.20389295144463807,33.0
LGA,631299,0.03387776631992131,608222.0,0.21289266090342013,52.0
MCO,630728,0.018841719409951677,617313.0,0.2661275560372129,61.0
DCA,564829,0.02736580451782752,547998.0,0.21913401143799796,49.0
BOS,563342,0.020435188571063405,550318.0,0.2234544390697742,51.0
SFO,545127,0.011674343776771285,537376.0,0.19548323706306198,38.0
EWR,517650,0.03141891239254323,500156.0,0.24116475659594205,58.0
DTW,506359,0.013429207341036696,498493.0,0.1870537800932009,39.0
JFK,497737,0.024788191354068515,484141.0,0.2380670094042851,56.0
MSP,481579,0.011561965949511917,474875.0,0.18425901553040275,36.0
IAH,470962,0.015884508728942037,462213.0,0.22032266509163523,50.0
SLC,448586,0.007401033469613408,444090.0,0.16545745231822379,30.0
MIA,431255,0.01703400540283591,422650.0,0.26679285460783153,59.0
BNA,389627,0.01673908635695165,382211.0,0.20526358477385528,40.0
BWI,377502,0.017329709511472786,370190.0,0.2522704557119317,46.0
PHL,376102,0.01917564915900474,367979.0,0.2251405650865946,52.0
SAN,368555,0.013425404620748599,362474.0,0.21258352323201113,39.0
AUS,354466,0.01525393126562209,348308.0,0.2171382799131803,43.0
FLL,353539,0.018781520567745,345869.0,0.2718717202177703,63.0
MDW,315614,0.01786676129702738,309149.0,0.24880559212547995,44.0
TPA,309747,0.02157567304929507,302328.0,0.2162452700378397,47.0
DAL,285168,0.01885905851989003,279174.0,0.23147212849334106,42.0
STL,250669,0.01672723791134923,245931.0,0.2084405788615506,39.0
PDX,238801,0.012332444168994268,235365.0,0.16447645146899498,28.0
HNL,237395,0.009166157669706607,234931.0,0.16681493715175946,25.0
RDU,230164,0.019321005891451314,225231.0,0.203693097308985,43.0
SMF,219762,0.01052502252436727,217014.0,0.16956048918502953,30.0
HOU,218378,0.014158935423898011,214875.0,0.20904246655031997,37.0
IAD,216911,0.015144460170300262,213143.0,0.19066542180601756,39.0
SJC,201631,0.010727517098065277,199140.0,0.162704629908607,28.0
MSY,199008,0.016853593825373853,195173.0,0.20970113694004805,42.0
MCI,191382,0.016981743319643437,187673.0,0.18733648420390786,35.0
IND,181341,0.01827496263944723,177605.0,0.1815376819346302,36.0
SNA,180546,0.014483843452638109,177375.0,0.18711768851303734,34.0
PIT,169608,0.01858992500353757,166148.0,0.17630064761537906,35.0
OAK,169575,0.01101577473094501,167479.0,0.18628007093426638,31.0
CMH,167133,0.018434420491464883,163690.0,0.17958335878795284,35.0
CLE,161979,0.02233005513060335,158048.0,0.18853765944523182,40.0
SAT,157739,0.013674487602939033,155237.0,0.17368282046161676,33.0
CVG,151214,0.018232438795349637,148090.0,0.19270713755148897,40.0
RSW,139589,0.027323069869402316,135395.0,0.2160641087189335,51.0
SJU,133520,0.014537147992810065,131001.0,0.2474713933481424,55.0
BUR,122248,0.01873241280020941,119662.0,0.1809597031639117,33.0
JAX,115657,0.020033374547152354,113052.0,0.20268548986307186,44.0
PBI,112170,0.021289114736560578,109384.0,0.25019198420244276,62.0
OGG,112149,0.010280965501252797,110815.0,0.17907323015837207,28.0
MKE,107750,0.018635730858468678,105517.0,0.18742951372764577,39.0
ONT,100232,0.012201692074387422,98821.0,0.1684055008550814,31.0
