feature,coefficient,abs_importance
numeric__scheduled_duration_history_unavailable,6.077460380622641,6.077460380622641
categorical__origin_airport_KOA,-0.6115712303940847,0.6115712303940847
categorical__destination_airport_ATL,-0.6082665429240206,0.6082665429240206
categorical__airline_HA,0.5682518326613756,0.5682518326613756
categorical__origin_airport_ITO,-0.5674432577094415,0.5674432577094415
categorical__origin_airport_LIH,-0.49891370717610267,0.49891370717610267
categorical__destination_airport_DEN,-0.48789212361363643,0.48789212361363643
numeric__scheduled_departure_hour,0.4515277816040055,0.4515277816040055
categorical__airline_YX,-0.44134918558777986,0.44134918558777986
categorical__airline_F9,0.40551776399834605,0.40551776399834605
categorical__destination_airport_ASE,0.39724460409544654,0.39724460409544654
categorical__origin_airport_OGG,-0.38091321937906303,0.38091321937906303
categorical__destination_airport_DFW,-0.3635239686393956,0.3635239686393956
categorical__destination_airport_HNL,0.3520702479632674,0.3520702479632674
categorical__airline_DL,-0.3477302004214264,0.3477302004214264
categorical__airline_9E,-0.33218421566587325,0.33218421566587325
categorical__origin_airport_HNL,-0.3219430471620629,0.3219430471620629
numeric__destination_daily_scheduled_flights,0.3216035773952675,0.3216035773952675
categorical__destination_airport_ORD,-0.30688201101936474,0.30688201101936474
categorical__origin_airport_ASE,0.30621409295207297,0.30621409295207297
categorical__airline_B6,0.2895578095478259,0.2895578095478259
categorical__destination_airport_EWR,0.27851904882408823,0.27851904882408823
numeric__origin_nws_winter_hazard,0.2757983366587452,0.2757983366587452
categorical__destination_airport_STS,0.27356040108253704,0.27356040108253704
categorical__destination_airport_EYW,0.2680526353537794,0.2680526353537794
categorical__destination_airport_STT,0.25739571478082623,0.25739571478082623
categorical__destination_airport_PVU,0.25206925055784063,0.25206925055784063
categorical__destination_airport_PHX,-0.25101880475269633,0.25101880475269633
categorical__airline_UA,-0.24755167107644407,0.24755167107644407
categorical__origin_airport_ATW,0.23872494968160823,0.23872494968160823
categorical__destination_airport_PBI,0.23599103574012845,0.23599103574012845
categorical__destination_airport_IAD,0.23437996135747857,0.23437996135747857
categorical__origin_airport_TTN,-0.23406398732345807,0.23406398732345807
numeric__route_recent_delay_rate,0.23338003879972852,0.23338003879972852
categorical__departure_month_10,-0.22833938499962644,0.22833938499962644
categorical__departure_weekday_1,-0.2275006936440452,0.2275006936440452
categorical__destination_airport_MIA,0.22118422491861447,0.22118422491861447
categorical__airline_MQ,-0.22103338059116293,0.22103338059116293
categorical__origin_airport_EYW,0.2167167736851288,0.2167167736851288
categorical__origin_airport_MYR,-0.21503333179981696,0.21503333179981696
categorical__destination_airport_LAX,-0.21286456517749294,0.21286456517749294
categorical__origin_airport_XWA,0.21048871001665853,0.21048871001665853
categorical__origin_airport_EWR,0.2099710718562713,0.2099710718562713
categorical__origin_airport_CRP,-0.20366491182704163,0.20366491182704163
categorical__airline_G4,0.20036164680779495,0.20036164680779495
categorical__destination_faa_hub_category_L,-0.19929467330991332,0.19929467330991332
categorical__destination_airport_BPT,-0.19835909065345908,0.19835909065345908
categorical__origin_airport_LIT,0.1958356221845306,0.1958356221845306
categorical__origin_airport_SBN,0.19496629118590342,0.19496629118590342
categorical__destination_airport_LCH,-0.19480221552124954,0.19480221552124954
categorical__origin_airport_BTV,0.19335279409508743,0.19335279409508743
categorical__destination_airport_GTF,-0.192263631227387,0.192263631227387
categorical__destination_airport_HLN,-0.1907499511105523,0.1907499511105523
categorical__origin_airport_LBE,-0.1903905329776465,0.1903905329776465
categorical__destination_airport_TPA,0.1896329650074516,0.1896329650074516
categorical__origin_airport_JNU,-0.18820511192485284,0.18820511192485284
categorical__destination_airport_GGG,-0.18750099803197473,0.18750099803197473
categorical__destination_airport_LAS,-0.1866872336659537,0.1866872336659537
categorical__departure_month_6,0.18531204565557352,0.18531204565557352
categorical__origin_airport_ISP,-0.18438168402105012,0.18438168402105012
categorical__destination_airport_FLL,0.18351941151588827,0.18351941151588827
