categorical_feature,numeric_feature,correlation_ratio_eta
destination_airport,destination_daily_scheduled_flights,0.9878570954551845
origin_airport,origin_hourly_scheduled_flights,0.8693330532999767
destination_faa_hub_category,destination_daily_scheduled_flights,0.7385642679847211
origin_faa_hub_category,origin_hourly_scheduled_flights,0.6464358470449786
departure_month,destination_recent_delay_rate,0.4552090939977329
destination_airport,origin_hourly_scheduled_flights,0.451496496324777
origin_airport,destination_daily_scheduled_flights,0.4427630853869977
departure_month,origin_recent_delay_rate,0.42776802593832053
airline,scheduled_duration_minutes,0.4185206417948575
destination_airport,scheduled_duration_minutes,0.3998316873066227
origin_airport,origin_recent_delay_rate,0.38214945860070637
origin_airport,scheduled_duration_minutes,0.3761803273581554
departure_month,route_recent_delay_rate,0.3710360440667405
destination_airport,destination_recent_delay_rate,0.3464775789641517
departure_month,within_three_days_of_federal_holiday,0.3392026083942765
destination_faa_hub_category,origin_hourly_scheduled_flights,0.3296876819113219
origin_airport,route_recent_delay_rate,0.3265889132160887
origin_faa_hub_category,destination_daily_scheduled_flights,0.31362549759479874
airline,destination_daily_scheduled_flights,0.2809789533620585
airline,origin_hourly_scheduled_flights,0.2735018793151938
destination_airport,route_recent_delay_rate,0.272371809990925
airline,route_recent_delay_rate,0.24628778572144028
destination_faa_hub_category,scheduled_duration_minutes,0.23286264478484214
origin_faa_hub_category,scheduled_duration_minutes,0.21880343717202463
destination_airport,destination_nws_hazard_valid_at_departure,0.20515700120965302
origin_airport,origin_nws_hazard_valid_at_departure,0.20110532490863306
destination_airport,scheduled_departure_hour,0.19119997156917007
origin_airport,scheduled_departure_hour,0.18459322988173218
origin_faa_hub_category,origin_recent_delay_rate,0.17843889460438453
origin_faa_hub_category,route_recent_delay_rate,0.15315176116938012
airline,destination_recent_delay_rate,0.1417807568787606
origin_faa_hub_category,scheduled_departure_hour,0.13786943823385486
airline,origin_recent_delay_rate,0.1373151882126729
destination_airport,origin_recent_delay_rate,0.13647553119158837
destination_faa_hub_category,scheduled_departure_hour,0.1359806972342299
destination_airport,destination_nws_hazard_active_at_cutoff,0.13150081101365552
origin_airport,origin_nws_hazard_active_at_cutoff,0.1270274194801561
origin_airport,destination_recent_delay_rate,0.10643899268429259
destination_airport,destination_nws_winter_hazard,0.09184563064086694
origin_airport,origin_nws_winter_hazard,0.09033032571953581
departure_month,origin_nws_hazard_active_at_cutoff,0.07086014720717239
departure_month,destination_nws_hazard_active_at_cutoff,0.06864659595689715
destination_faa_hub_category,destination_recent_delay_rate,0.06748890089195071
destination_faa_hub_category,origin_recent_delay_rate,0.06102067249354537
departure_month,destination_nws_hazard_valid_at_departure,0.058503709059432786
departure_month,origin_nws_hazard_valid_at_departure,0.05818566615976724
destination_faa_hub_category,route_recent_delay_rate,0.05605203201950849
departure_weekday,destination_daily_scheduled_flights,0.052945404094642205
origin_airport,destination_nws_hazard_valid_at_departure,0.05135971641615283
destination_airport,origin_nws_hazard_valid_at_departure,0.04890287258325846
departure_month,destination_daily_scheduled_flights,0.04702190577689754
origin_airport,destination_nws_hazard_active_at_cutoff,0.044960723070435214
destination_airport,origin_nws_winter_hazard,0.04301293558564774
destination_airport,origin_nws_hazard_active_at_cutoff,0.04232879081872197
origin_airport,destination_nws_winter_hazard,0.041499353678675806
origin_airport,within_three_days_of_federal_holiday,0.03588613973120518
destination_airport,within_three_days_of_federal_holiday,0.03477980247869371
destination_faa_hub_category,destination_nws_hazard_valid_at_departure,0.0325945337824379
airline,scheduled_departure_hour,0.03182780722374572
departure_weekday,origin_hourly_scheduled_flights,0.030817477191049478
origin_faa_hub_category,destination_recent_delay_rate,0.028403122686126624
departure_month,scheduled_duration_minutes,0.026774868155718588
departure_weekday,scheduled_departure_hour,0.026288771097108345
destination_faa_hub_category,destination_nws_hazard_active_at_cutoff,0.02571725348883734
departure_month,origin_nws_winter_hazard,0.02516795333309507
departure_month,destination_nws_winter_hazard,0.02468319882264776
departure_month,origin_hourly_scheduled_flights,0.02448514685763075
airline,destination_nws_hazard_valid_at_departure,0.02351912493379529
origin_faa_hub_category,origin_nws_hazard_valid_at_departure,0.02219295382743087
airline,destination_nws_hazard_active_at_cutoff,0.020368085901419964
destination_faa_hub_category,destination_nws_winter_hazard,0.020132476648004043
airline,origin_nws_hazard_valid_at_departure,0.019963404989351213
origin_faa_hub_category,origin_nws_hazard_active_at_cutoff,0.019408077987736246
origin_faa_hub_category,origin_nws_winter_hazard,0.01633119279496703
airline,origin_nws_winter_hazard,0.016186176557033385
departure_weekday,scheduled_duration_minutes,0.01524219117531259
airline,destination_nws_winter_hazard,0.014354685501554347
airline,origin_nws_hazard_active_at_cutoff,0.013420863708483265
departure_weekday,within_three_days_of_federal_holiday,0.01229072404804161
departure_weekday,destination_recent_delay_rate,0.010177175229238862
airline,within_three_days_of_federal_holiday,0.010140422804690775
destination_faa_hub_category,origin_nws_hazard_valid_at_departure,0.010059529278155963
origin_faa_hub_category,destination_nws_hazard_active_at_cutoff,0.009918517359654488
departure_month,scheduled_departure_hour,0.009808521022112543
departure_weekday,origin_nws_winter_hazard,0.008939999369984023
departure_weekday,origin_nws_hazard_valid_at_departure,0.008528470061943632
destination_faa_hub_category,origin_nws_hazard_active_at_cutoff,0.008383226717308435
departure_weekday,destination_nws_hazard_active_at_cutoff,0.008361875384215754
departure_weekday,origin_recent_delay_rate,0.008111804011227491
origin_faa_hub_category,destination_nws_hazard_valid_at_departure,0.008037444535027659
departure_weekday,destination_nws_winter_hazard,0.0074785446733803065
origin_faa_hub_category,destination_nws_winter_hazard,0.006967324697738585
departure_weekday,route_recent_delay_rate,0.006638846607587605
departure_weekday,origin_nws_hazard_active_at_cutoff,0.006564926127729763
departure_weekday,destination_nws_hazard_valid_at_departure,0.006215974154402136
destination_faa_hub_category,origin_nws_winter_hazard,0.00557850731998926
destination_faa_hub_category,within_three_days_of_federal_holiday,0.004606196448261046
origin_faa_hub_category,within_three_days_of_federal_holiday,0.0021040156857102957
