feature_1,feature_2,spearman_correlation,absolute_correlation
origin_recent_delay_rate,destination_recent_delay_rate,0.5650884434772079,0.5650884434772079
origin_nws_hazard_valid_at_departure,origin_nws_hazard_active_at_cutoff,0.5459638849307459,0.5459638849307459
destination_nws_hazard_valid_at_departure,destination_nws_hazard_active_at_cutoff,0.5428757128830597,0.5428757128830597
origin_recent_delay_rate,route_recent_delay_rate,0.5380385586967659,0.5380385586967659
destination_recent_delay_rate,route_recent_delay_rate,0.4956175976414422,0.4956175976414422
origin_hourly_scheduled_flights,destination_daily_scheduled_flights,-0.3467997744064279,0.3467997744064279
scheduled_duration_minutes,destination_daily_scheduled_flights,0.18412898342895767,0.18412898342895767
origin_nws_hazard_valid_at_departure,origin_nws_winter_hazard,0.1733465835188592,0.1733465835188592
origin_hourly_scheduled_flights,origin_recent_delay_rate,0.16423488930390878,0.16423488930390878
destination_nws_hazard_valid_at_departure,destination_nws_winter_hazard,0.16280857145380614,0.16280857145380614
origin_hourly_scheduled_flights,route_recent_delay_rate,0.14897648305725636,0.14897648305725636
scheduled_departure_hour,destination_daily_scheduled_flights,-0.13494321600481196,0.13494321600481196
scheduled_duration_minutes,route_recent_delay_rate,0.1341815874559286,0.1341815874559286
scheduled_duration_minutes,origin_hourly_scheduled_flights,0.13124951901448262,0.13124951901448262
origin_nws_hazard_active_at_cutoff,origin_nws_winter_hazard,0.0946409741774284,0.0946409741774284
destination_nws_hazard_active_at_cutoff,destination_nws_winter_hazard,0.08838481929145758,0.08838481929145758
scheduled_duration_minutes,origin_recent_delay_rate,0.08039590585881047,0.08039590585881047
scheduled_departure_hour,origin_hourly_scheduled_flights,0.07757860201548564,0.07757860201548564
destination_daily_scheduled_flights,origin_recent_delay_rate,-0.06921181702902077,0.06921181702902077
origin_nws_hazard_active_at_cutoff,origin_recent_delay_rate,0.0654896378781982,0.0654896378781982
destination_nws_hazard_active_at_cutoff,destination_recent_delay_rate,0.0629704944516004,0.0629704944516004
scheduled_departure_hour,route_recent_delay_rate,0.06252060724148477,0.06252060724148477
scheduled_duration_minutes,destination_recent_delay_rate,0.052903037658760456,0.052903037658760456
origin_nws_hazard_active_at_cutoff,destination_nws_hazard_active_at_cutoff,0.04959291970648726,0.04959291970648726
origin_nws_hazard_active_at_cutoff,destination_recent_delay_rate,0.03962992743843606,0.03962992743843606
origin_nws_hazard_active_at_cutoff,route_recent_delay_rate,0.03874732133171305,0.03874732133171305
destination_nws_hazard_active_at_cutoff,origin_recent_delay_rate,0.03762122525877663,0.03762122525877663
scheduled_departure_hour,origin_recent_delay_rate,0.037112800689170854,0.037112800689170854
destination_daily_scheduled_flights,destination_recent_delay_rate,-0.033034305423282145,0.033034305423282145
scheduled_departure_hour,scheduled_duration_minutes,-0.03145902359723876,0.03145902359723876
destination_nws_hazard_active_at_cutoff,route_recent_delay_rate,0.031377292299647655,0.031377292299647655
destination_nws_hazard_valid_at_departure,destination_recent_delay_rate,0.030800204641813097,0.030800204641813097
origin_nws_hazard_valid_at_departure,destination_nws_hazard_valid_at_departure,0.02857308865957415,0.02857308865957415
destination_daily_scheduled_flights,destination_nws_hazard_valid_at_departure,-0.027683613763526224,0.027683613763526224
origin_nws_hazard_valid_at_departure,origin_recent_delay_rate,0.027494778447542244,0.027494778447542244
within_three_days_of_federal_holiday,route_recent_delay_rate,-0.026802131886132247,0.026802131886132247
destination_daily_scheduled_flights,destination_nws_hazard_active_at_cutoff,-0.0245708739008284,0.0245708739008284
origin_hourly_scheduled_flights,origin_nws_hazard_valid_at_departure,-0.023408270888998182,0.023408270888998182
origin_nws_hazard_valid_at_departure,destination_nws_hazard_active_at_cutoff,0.022513905914666673,0.022513905914666673
destination_nws_hazard_valid_at_departure,origin_nws_hazard_active_at_cutoff,0.021762920778847932,0.021762920778847932
origin_nws_hazard_valid_at_departure,destination_recent_delay_rate,0.02049364133190111,0.02049364133190111
destination_nws_hazard_valid_at_departure,origin_recent_delay_rate,0.020170462301612607,0.020170462301612607
origin_hourly_scheduled_flights,destination_recent_delay_rate,0.019744528764931636,0.019744528764931636
origin_hourly_scheduled_flights,origin_nws_hazard_active_at_cutoff,-0.01955445945070168,0.01955445945070168
scheduled_departure_hour,destination_recent_delay_rate,0.018333606844983613,0.018333606844983613
scheduled_departure_hour,destination_nws_hazard_active_at_cutoff,0.014979251525821876,0.014979251525821876
within_three_days_of_federal_holiday,origin_nws_hazard_valid_at_departure,-0.01437104309774028,0.01437104309774028
within_three_days_of_federal_holiday,destination_nws_hazard_valid_at_departure,-0.01366381020247101,0.01366381020247101
destination_nws_hazard_valid_at_departure,route_recent_delay_rate,0.013402675362082579,0.013402675362082579
origin_nws_hazard_valid_at_departure,route_recent_delay_rate,0.01325492548005464,0.01325492548005464
destination_daily_scheduled_flights,destination_nws_winter_hazard,-0.010852068085165187,0.010852068085165187
scheduled_duration_minutes,within_three_days_of_federal_holiday,0.010078134706475533,0.010078134706475533
destination_daily_scheduled_flights,route_recent_delay_rate,-0.009963161595201676,0.009963161595201676
origin_hourly_scheduled_flights,destination_nws_hazard_valid_at_departure,0.009915445928033655,0.009915445928033655
scheduled_departure_hour,origin_nws_hazard_active_at_cutoff,0.009597641210608902,0.009597641210608902
destination_daily_scheduled_flights,origin_nws_hazard_valid_at_departure,0.008986414104185492,0.008986414104185492
within_three_days_of_federal_holiday,destination_nws_winter_hazard,0.008778592620160921,0.008778592620160921
origin_hourly_scheduled_flights,destination_nws_hazard_active_at_cutoff,0.008658101949679147,0.008658101949679147
origin_nws_winter_hazard,destination_nws_winter_hazard,0.008499298722443378,0.008499298722443378
origin_nws_winter_hazard,origin_recent_delay_rate,0.008431994843614557,0.008431994843614557
origin_hourly_scheduled_flights,origin_nws_winter_hazard,-0.008353257590979827,0.008353257590979827
origin_nws_hazard_active_at_cutoff,destination_nws_winter_hazard,0.008312678135323307,0.008312678135323307
destination_daily_scheduled_flights,origin_nws_hazard_active_at_cutoff,0.00798093763901428,0.00798093763901428
destination_daily_scheduled_flights,within_three_days_of_federal_holiday,-0.007941773438566058,0.007941773438566058
origin_hourly_scheduled_flights,within_three_days_of_federal_holiday,-0.006350449123522521,0.006350449123522521
within_three_days_of_federal_holiday,origin_nws_hazard_active_at_cutoff,-0.00581720907814402,0.00581720907814402
within_three_days_of_federal_holiday,destination_recent_delay_rate,0.005052067208952689,0.005052067208952689
scheduled_departure_hour,origin_nws_hazard_valid_at_departure,-0.00477531022561164,0.00477531022561164
destination_nws_hazard_active_at_cutoff,origin_nws_winter_hazard,0.004759727676174954,0.004759727676174954
scheduled_duration_minutes,destination_nws_winter_hazard,-0.004480805735647447,0.004480805735647447
within_three_days_of_federal_holiday,origin_nws_winter_hazard,0.003954609266442868,0.003954609266442868
scheduled_duration_minutes,origin_nws_hazard_active_at_cutoff,0.0030684769479330702,0.0030684769479330702
origin_nws_winter_hazard,route_recent_delay_rate,-0.003010887582038611,0.003010887582038611
scheduled_duration_minutes,destination_nws_hazard_active_at_cutoff,0.002788568229168483,0.002788568229168483
scheduled_departure_hour,destination_nws_hazard_valid_at_departure,0.002751564278397052,0.002751564278397052
scheduled_duration_minutes,destination_nws_hazard_valid_at_departure,-0.002747780252920773,0.002747780252920773
within_three_days_of_federal_holiday,destination_nws_hazard_active_at_cutoff,-0.00266870461706426,0.00266870461706426
scheduled_departure_hour,destination_nws_winter_hazard,0.0022616257727300112,0.0022616257727300112
within_three_days_of_federal_holiday,origin_recent_delay_rate,0.0021843595424728677,0.0021843595424728677
destination_nws_winter_hazard,origin_recent_delay_rate,0.002181634611885287,0.002181634611885287
destination_nws_winter_hazard,destination_recent_delay_rate,0.002036496161519308,0.002036496161519308
origin_nws_winter_hazard,destination_recent_delay_rate,0.00180722100353029,0.00180722100353029
origin_hourly_scheduled_flights,destination_nws_winter_hazard,0.001761016814424803,0.001761016814424803
destination_nws_winter_hazard,route_recent_delay_rate,-0.001662870088248507,0.001662870088248507
scheduled_duration_minutes,origin_nws_winter_hazard,-0.0010866410792694083,0.0010866410792694083
origin_nws_hazard_valid_at_departure,destination_nws_winter_hazard,0.0009487421717991377,0.0009487421717991377
scheduled_duration_minutes,origin_nws_hazard_valid_at_departure,0.000918159729516205,0.000918159729516205
destination_nws_hazard_valid_at_departure,origin_nws_winter_hazard,0.0006184325044212946,0.0006184325044212946
scheduled_departure_hour,within_three_days_of_federal_holiday,-0.00046755185199384757,0.00046755185199384757
scheduled_departure_hour,origin_nws_winter_hazard,-0.00044474289704835105,0.00044474289704835105
destination_daily_scheduled_flights,origin_nws_winter_hazard,6.308300675314732e-05,6.308300675314732e-05
