feature,importance
numeric__route_recent_delay_rate,0.085415445
numeric__scheduled_departure_hour,0.061430525
categorical__departure_weekday_1,0.030712074
categorical__airline_B6,0.028216958
numeric__origin_nws_hazard_active_at_cutoff,0.026426185
categorical__airline_WN,0.025115341
categorical__airline_F9,0.024064168
numeric__destination_nws_hazard_active_at_cutoff,0.023646222
numeric__origin_recent_delay_rate,0.020080458
categorical__airline_DL,0.019546716
categorical__airline_OO,0.01854277
categorical__departure_month_6,0.01715171
categorical__departure_weekday_4,0.017067386
categorical__airline_YX,0.016571002
categorical__departure_weekday_2,0.014165666
categorical__departure_month_12,0.013981025
categorical__departure_month_7,0.013364348
categorical__departure_month_10,0.012813813
numeric__origin_nws_winter_hazard,0.012540588
numeric__destination_recent_delay_rate,0.012522214
categorical__airline_AA,0.010586202
categorical__departure_month_9,0.009538965
categorical__airline_9E,0.009445834
categorical__departure_month_1,0.009270565
numeric__within_three_days_of_federal_holiday,0.00922016
categorical__departure_weekday_6,0.008980072
categorical__airline_NK,0.008621274
categorical__departure_month_8,0.008496734
categorical__departure_month_2,0.0069572944
categorical__airline_UA,0.006912321
numeric__origin_nws_hazard_valid_at_departure,0.006900646
numeric__destination_nws_winter_hazard,0.006314038
categorical__departure_month_3,0.0062129046
categorical__departure_weekday_3,0.0061732507
categorical__origin_airport_EWR,0.005947376
categorical__airline_HA,0.0059043276
categorical__airline_G4,0.005728786
categorical__destination_airport_MCO,0.0056109573
categorical__destination_airport_SFO,0.00553504
categorical__destination_airport_SNA,0.005442887
numeric__scheduled_duration_minutes,0.0054389006
categorical__destination_airport_LAS,0.005142645
categorical__origin_faa_hub_category_L,0.0050970153
categorical__airline_MQ,0.005017428
categorical__origin_airport_ATL,0.005003336
categorical__departure_weekday_0,0.004907104
categorical__destination_airport_HNL,0.0047460315
categorical__origin_airport_DEN,0.004596082
categorical__origin_airport_PHX,0.0045421636
categorical__airline_AS,0.0045399154
numeric__destination_daily_scheduled_flights,0.004439546
categorical__destination_airport_EWR,0.0044247303
categorical__destination_airport_PHX,0.0043787765
categorical__origin_airport_HNL,0.0043366626
categorical__origin_airport_OGG,0.0042218496
categorical__origin_airport_CMH,0.0039117425
categorical__destination_airport_LGA,0.00389945
categorical__origin_airport_SAN,0.0037952668
categorical__destination_airport_LAX,0.0037896656
categorical__origin_airport_LAS,0.0037472516
numeric__origin_hourly_scheduled_flights,0.003743378
categorical__origin_airport_JFK,0.0036948286
categorical__departure_month_5,0.0036864718
categorical__destination_airport_DFW,0.0036861608
categorical__departure_month_11,0.0036807822
numeric__destination_nws_hazard_valid_at_departure,0.0036550176
categorical__origin_airport_MCO,0.0036176993
categorical__destination_airport_FLL,0.0036158958
categorical__origin_airport_SFO,0.0035238462
categorical__origin_airport_BWI,0.0035028486
categorical__origin_airport_DFW,0.0034701715
categorical__origin_airport_MSN,0.003461773
categorical__departure_weekday_5,0.0034481983
categorical__destination_airport_ATL,0.0033083146
categorical__destination_faa_hub_category_L,0.0032988323
categorical__origin_airport_FLL,0.0032844222
categorical__origin_airport_TPA,0.0032658398
categorical__destination_airport_TPA,0.003226392
categorical__origin_airport_ORD,0.0032009464
categorical__origin_airport_CLT,0.0030894985
categorical__destination_airport_SAN,0.0030337723
categorical__airline_OH,0.003016663
categorical__destination_airport_MIA,0.0030121943
categorical__origin_airport_LAX,0.0029079793
categorical__departure_month_4,0.0028477802
categorical__destination_airport_SLC,0.002807101
categorical__origin_airport_SLC,0.0027200957
categorical__origin_airport_LGA,0.0027176093
categorical__destination_airport_JFK,0.0026972457
categorical__origin_airport_MIA,0.0026289262
categorical__destination_airport_SEA,0.0026068275
categorical__destination_airport_ASE,0.0025839733
categorical__origin_airport_SEA,0.0025576209
categorical__destination_airport_HPN,0.0024827428
categorical__origin_airport_MSP,0.002465659
categorical__origin_airport_DCA,0.002437795
